[2024-02-08 12:19:42,853: INFO: main: Welcome to our cutom log]
[2024-02-08 12:21:07,471: INFO: main: Welcome to our cutom log]
[2024-02-08 12:22:08,200: INFO: main: Welcome to our cutom log]
[2024-02-24 15:22:19,491: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-24 15:22:19,506: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-24 15:22:19,509: INFO: common: created directory at: artifacts]
[2024-02-24 15:22:19,513: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-24 15:22:19,516: INFO: 2161667167: Downloading data from https://drive.google.com/file/d/1NNngfD6Tp2bl-iMN_sIAWpSiSdFfwvuG/view into file artifacts/data_ingestion/data.zip]
[2024-02-24 15:25:23,599: INFO: 2161667167: Download data from https://drive.google.com/file/d/1NNngfD6Tp2bl-iMN_sIAWpSiSdFfwvuG/view into file artifacts/data_ingestion/data.zip]
[2024-02-24 15:49:40,173: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2024-02-24 15:49:40,177: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-24 15:49:40,178: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-24 15:49:40,180: INFO: common: created directory at: artifacts]
[2024-02-24 15:49:40,181: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-24 15:49:40,182: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1NNngfD6Tp2bl-iMN_sIAWpSiSdFfwvuG/view into file artifacts/data_ingestion/data.zip]
[2024-02-24 15:52:32,942: INFO: data_ingestion: Download data from https://drive.google.com/file/d/1NNngfD6Tp2bl-iMN_sIAWpSiSdFfwvuG/view into file artifacts/data_ingestion/data.zip]
[2024-02-24 15:52:54,680: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
